Name,Full name,Monomer SMILES,Repeat unit SMILES,Rescode,Parameterized
hP2HP,2-Hydroxypropionate,O[C@H](C)C(=O)O,[C@H](C)C(=O)O,,y
mP2HP,2-Hydroxypropionate,O[C@H](C)C(=O)O,[C@H](C)C(=O)O,,y
tP2HP,2-Hydroxypropionate,O[C@H](C)C(=O)O,[C@H](C)C(=O)O,,y
hP2HB,2-Hydroxybutyrate,O[C@H](CC)C(=O)O,[C@H](CC)C(=O)O,,y
mP2HB,2-Hydroxybutyrate,O[C@H](CC)C(=O)O,[C@H](CC)C(=O)O,,y
tP2HB,2-Hydroxybutyrate,O[C@H](CC)C(=O)O,[C@H](CC)C(=O)O,,y
hP2HHx,2-Hydroxyhexanoate,O[C@H](CCCC)C(=O)O,[C@H](CCCC)C(=O)O,,
mP2HHx,2-Hydroxyhexanoate,O[C@H](CCCC)C(=O)O,[C@H](CCCC)C(=O)O,,
tP2HHx,2-Hydroxyhexanoate,O[C@H](CCCC)C(=O)O,[C@H](CCCC)C(=O)O,,
hP3HB,3-Hydroxybutyrate,O[C@H](C)CC(=O)O,[C@H](C)CC(=O)O,,y
mP3HB,3-Hydroxybutyrate,O[C@H](C)CC(=O)O,[C@H](C)CC(=O)O,,y
tP3HB,3-Hydroxybutyrate,O[C@H](C)CC(=O)O,[C@H](C)CC(=O)O,,y
hP3HV,3-Hydroxyvalerate,O[C@H](CC)CC(=O)O,[C@H](CC)CC(=O)O,,y
mP3HV,3-Hydroxyvalerate,O[C@H](CC)CC(=O)O,[C@H](CC)CC(=O)O,,
tP3HV,3-Hydroxyvalerate,O[C@H](CC)CC(=O)O,[C@H](CC)CC(=O)O,,
hP3HHx,3-Hydroxyhexanoate,O[C@H](CCC)CC(=O)O,[C@H](CCC)CC(=O)O,,y
mP3HHx,3-Hydroxyhexanoate,O[C@H](CCC)CC(=O)O,[C@H](CCC)CC(=O)O,,y
tP3HHx,3-Hydroxyhexanoate,O[C@H](CCC)CC(=O)O,[C@H](CCC)CC(=O)O,,y
hP3HHp,3-Hydroxyheptanoate,O[C@H](CCCC)CC(=O)O,[C@H](CCCC)CC(=O)O,,y
mP3HHp,3-Hydroxyheptanoate,O[C@H](CCCC)CC(=O)O,[C@H](CCCC)CC(=O)O,,y
tP3HHp,3-Hydroxyheptanoate,O[C@H](CCCC)CC(=O)O,[C@H](CCCC)CC(=O)O,,y
hP3HO,3-Hydroxyoctanoate,O[C@H](CCCCC)CC(=O)O,[C@H](CCCCC)CC(=O)O,,y
mP3HO,3-Hydroxyoctanoate,O[C@H](CCCCC)CC(=O)O,[C@H](CCCCC)CC(=O)O,,y
tP3HO,3-Hydroxyoctanoate,O[C@H](CCCCC)CC(=O)O,[C@H](CCCCC)CC(=O)O,,y
hP3HN,3-Hydroxynonanoate,O[C@H](CCCCCC)CC(=O)O,[C@H](CCCCCC)CC(=O)O,,
mP3HN,3-Hydroxynonanoate,O[C@H](CCCCCC)CC(=O)O,[C@H](CCCCCC)CC(=O)O,,
tP3HN,3-Hydroxynonanoate,O[C@H](CCCCCC)CC(=O)O,[C@H](CCCCCC)CC(=O)O,,
hP3HD,3-Hydroxydecanoate,O[C@H](CCCCCCC)CC(=O)O,[C@H](CCCCCCC)CC(=O)O,,y
mP3HD,3-Hydroxydecanoate,O[C@H](CCCCCCC)CC(=O)O,[C@H](CCCCCCC)CC(=O)O,,y
tP3HD,3-Hydroxydecanoate,O[C@H](CCCCCCC)CC(=O)O,[C@H](CCCCCCC)CC(=O)O,,y
hP3HUD,3-Hydroxyundecanoate,O[C@H](CCCCCCCC)CC(=O)O,[C@H](CCCCCCCC)CC(=O)O,,
mP3HUD,3-Hydroxyundecanoate,O[C@H](CCCCCCCC)CC(=O)O,[C@H](CCCCCCCC)CC(=O)O,,
tP3HUD,3-Hydroxyundecanoate,O[C@H](CCCCCCCC)CC(=O)O,[C@H](CCCCCCCC)CC(=O)O,,
hP3HDD,3-Hydroxydodecanoate,O[C@H](CCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCC)CC(=O)O,,y
mP3HDD,3-Hydroxydodecanoate,O[C@H](CCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCC)CC(=O)O,,y
tP3HDD,3-Hydroxydodecanoate,O[C@H](CCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCC)CC(=O)O,,y
hP3HU,,,,,
mP3HU,,,,,
tP3HU,,,,,
hP3HTD,3-Hydroxytetradecanoate,O[C@H](CCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCC)CC(=O)O,,
mP3HTD,3-Hydroxytetradecanoate,O[C@H](CCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCC)CC(=O)O,,
tP3HTD,3-Hydroxytetradecanoate,O[C@H](CCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCC)CC(=O)O,,
hP3HHD,3-Hydroxyhexadecanoate,O[C@H](CCCCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCCCC)CC(=O)O,,
mP3HHD,3-Hydroxyhexadecanoate,O[C@H](CCCCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCCCC)CC(=O)O,,
tP3HHD,3-Hydroxyhexadecanoate,O[C@H](CCCCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCCCC)CC(=O)O,,
hP3HOD,3-Hydroxyoctadecanoate,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCCCCCC)CC(=O)O,,
mP3HOD,3-Hydroxyoctadecanoate,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCCCCCC)CC(=O)O,,
tP3HOD,3-Hydroxyoctadecanoate,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O,[C@H](CCCCCCCCCCCCCCC)CC(=O)O,,
hP3H5HxE,3-Hydroxy-5-hexenoate,O[C@H](CC=C)CC(=O)O,[C@H](CC=C)CC(=O)O,,
mP3H5HxE,3-Hydroxy-5-hexenoate,O[C@H](CC=C)CC(=O)O,[C@H](CC=C)CC(=O)O,,
