polymer_name,smiles
P3HB_30,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
P3HB_20,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
P3HB_5,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
P3HB_23,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
P3MB_4,O[C@H](S)CC(=O)O[C@H](S)CC(=O)O[C@H](S)CC(=O)O[C@H](S)CC(=O)O
P3HB_16,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
co_P6HHx_P7HHp_AABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABBAABB_128,OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)O
P2HB_2,O[C@H](CC)C(=O)O[C@H](CC)C(=O)O
P3HB_4,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
co_P3HB_P4HB_ABABBA_6,O[C@H](C)CC(=O)OCCCC(=O)O[C@H](C)CC(=O)OCCCC(=O)OCCCC(=O)O[C@H](C)CC(=O)O
P3HB_10,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
P3HB_13,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
P3H5pBrPhV_8,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O
