PHA_type,component,readable_name,residue_code,smiles
3HB,trimer,P3HB_3,AAA,O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O
3HB,head,hP3HB,AAB,O[C@H](C)CC(=O)O
3HB,mainchain,mP3HB,AAC,O[C@H](C)CC(=O)O
3HB,tail,tP3HB,AAD,O[C@H](C)CC(=O)O
4HB,trimer,P4HB_3,AAE,OCCCC(=O)OCCCC(=O)OCCCC(=O)O
4HB,head,hP4HB,AAF,OCCCC(=O)O
4HB,mainchain,mP4HB,AAG,OCCCC(=O)O
4HB,tail,tP4HB,AAH,OCCCC(=O)O

2HP,trimer,P2HP_3,AAI,O[C@H](C)C(=O)O[C@H](C)C(=O)O[C@H](C)C(=O)O
2HP,head,hP2HP,AAJ,O[C@H](C)C(=O)O
2HP,mainchain,mP2HP,AAK,O[C@H](C)C(=O)O
2HP,tail,tP2HP,AAL,O[C@H](C)C(=O)O
2HB,trimer,P2HB_3,AAM,O[C@H](CC)C(=O)O[C@H](CC)C(=O)O[C@H](CC)C(=O)O
2HB,head,hP2HB,AAN,O[C@H](CC)C(=O)O
2HB,mainchain,mP2HB,AAO,O[C@H](CC)C(=O)O
2HB,tail,tP2HB,AAP,O[C@H](CC)C(=O)O
2HHx,trimer,P2HHx_3,AAQ,O[C@H](CCCC)C(=O)O[C@H](CCCC)C(=O)O[C@H](CCCC)C(=O)O
2HHx,head,hP2HHx,AAR,O[C@H](CCCC)C(=O)O
2HHx,mainchain,mP2HHx,AAS,O[C@H](CCCC)C(=O)O
2HHx,tail,tP2HHx,AAT,O[C@H](CCCC)C(=O)O
3HV,trimer,P3HV_3,AAU,O[C@H](CC)CC(=O)O[C@H](CC)CC(=O)O[C@H](CC)CC(=O)O
3HV,head,hP3HV,AAV,O[C@H](CC)CC(=O)O
3HV,mainchain,mP3HV,AAW,O[C@H](CC)CC(=O)O
3HV,tail,tP3HV,AAX,O[C@H](CC)CC(=O)O
3HHx,trimer,P3HHx_3,AAY,O[C@H](CCC)CC(=O)O[C@H](CCC)CC(=O)O[C@H](CCC)CC(=O)O
3HHx,head,hP3HHx,AAZ,O[C@H](CCC)CC(=O)O
3HHx,mainchain,mP3HHx,ABA,O[C@H](CCC)CC(=O)O
3HHx,tail,tP3HHx,ABB,O[C@H](CCC)CC(=O)O
3HHp,trimer,P3HHp_3,ABC,O[C@H](CCCC)CC(=O)O[C@H](CCCC)CC(=O)O[C@H](CCCC)CC(=O)O
3HHp,head,hP3HHp,ABD,O[C@H](CCCC)CC(=O)O
3HHp,mainchain,mP3HHp,ABE,O[C@H](CCCC)CC(=O)O
3HHp,tail,tP3HHp,ABF,O[C@H](CCCC)CC(=O)O
3HO,trimer,P3HO_3,ABG,O[C@H](CCCCC)CC(=O)O[C@H](CCCCC)CC(=O)O[C@H](CCCCC)CC(=O)O
3HO,head,hP3HO,ABH,O[C@H](CCCCC)CC(=O)O
3HO,mainchain,mP3HO,ABI,O[C@H](CCCCC)CC(=O)O
3HO,tail,tP3HO,ABJ,O[C@H](CCCCC)CC(=O)O
